# id,beta
207,1.09914
208,3.71569
209,2.28130
210,2.17476
211,1.20808
212,3.71569
213,3.63966
214,2.28130
215,1.20554
216,3.81160
217,3.81160
218,0.91505
219,3.81160
220,3.81160
221,3.81160
222,3.81160
223,3.81160
224,2.41023
225,2.41023
226,2.41023
227,3.76784
228,3.76784
229,2.40734
230,3.81160
231,2.32804
232,2.25634
233,2.41023
234,2.33444
235,3.81160
236,3.81160
237,3.81160
238,3.81160
239,3.74158
240,3.81160
241,3.81160
242,2.27201
243,4.60032
244,4.60032
245,4.60032
246,4.60032
247,1.90795
248,4.60032
249,2.31893
250,4.59468
251,2.31893
252,2.27201
253,4.60032
254,2.31893
255,2.31893
256,4.60032
257,4.57248
258,2.27201
259,1.23518
260,1.24522
261,1.43106
262,3.77530
263,4.29040
264,4.29104
265,4.29104
266,4.29104
267,4.29104
268,4.29104
269,4.29104
270,4.29104
271,1.34837
272,0.97934
273,1.01029
274,4.29104
275,4.29104
276,4.29104
277,4.29104
278,4.29104
279,4.29104
280,1.91846
281,0.77559
282,0.89283
283,4.29104
284,4.29104
285,1.91846
286,3.73930
287,3.73930
288,3.73930
289,3.73930
290,3.73930
291,3.72103
292,3.71787
293,3.71787
294,3.72294
295,3.73930
296,3.73930
297,2.34655
298,3.71821
299,1.20585
300,3.71821
301,3.71821
302,3.71821
303,3.71821
304,3.71821
305,3.54211
306,3.71821
307,3.71821
308,3.71821
309,1.55415
310,3.71821
311,3.71821
312,3.71821
313,3.54211
314,3.71821
315,3.54211
316,1.27085
317,1.75868
318,3.51825
319,1.55415
320,1.82720
321,1.87228
322,3.57251
323,3.57251
324,1.87228
325,3.57251
326,3.57251
327,1.87228
328,1.80916
329,3.57251
330,1.87228
331,1.87228
332,0.98764
333,3.57251
334,3.57251
335,1.09509
336,1.68230
337,1.87228
338,3.57251
339,3.57251
340,3.57251
341,3.57251
342,3.57251
343,3.31203
344,3.49528
345,1.22201
346,3.31203
347,3.49528
348,3.49528
349,3.17052
350,3.49528
351,3.49528
352,3.49528
353,1.62511
354,3.49528
355,3.49528
356,3.49528
357,3.49528
358,1.49454
359,3.31203
360,2.96626
361,2.96626
362,2.88258
363,2.96626
364,2.96483
365,2.96626
366,2.96626
367,2.96626
368,2.96626
369,2.96626
370,2.96626
371,3.50324
372,3.50324
373,3.50324
374,3.50324
375,3.50324
376,3.50324
377,3.50324
378,3.47977
379,3.50324
380,1.73236
381,3.47085
382,3.50324
383,3.14826
384,3.14826
385,3.50324
386,1.03525
387,3.50324
388,3.47362
389,3.47977
390,3.50324
391,3.14826
392,3.50295
393,3.14826
394,3.50324
395,0.95078
396,1.32337
397,0.72636
398,0.95125
399,3.36339
400,1.53092
401,3.36339
402,3.36339
403,1.42953
404,2.28130
405,3.31593
406,3.31593
407,3.31593
408,3.18076
409,3.20927
410,3.31593
411,3.31593
412,3.31593
413,3.31593
414,3.31593
415,3.31593
416,3.31593
417,3.31593
418,3.31593
419,3.31593
420,3.31593
421,3.31593
422,3.17644
423,1.05698
424,3.31593
425,3.20927
426,1.45388
427,3.20927
428,1.46651
429,3.20927
430,3.31593
431,1.03811
432,0.89472
433,3.38929
434,3.38929
435,3.38929
436,3.33860
437,3.38929
438,3.38929
439,3.18647
440,1.63358
441,3.07912
442,0.81419
443,3.51535
444,2.83616
445,1.77757
446,3.07912
447,3.07912
448,3.51535
449,1.85978
450,3.07912
451,1.85978
452,3.51535
453,3.51535
454,3.51535
455,3.51535
456,3.51535
457,3.51535
458,3.51535
459,3.51535
460,3.51535
461,3.51535
462,3.07912
463,3.49338
464,3.07912
465,3.46436
466,3.51535
467,3.49338
468,3.11292
469,3.11292
470,3.11292
471,3.11292
472,3.11292
473,3.11292
474,3.11292
475,3.11292
476,3.05935
477,3.11292
478,3.11292
479,3.11292
480,3.11292
481,3.11292
482,3.11292
483,3.11292
484,3.11292
485,4.71782
486,2.30388
487,2.82168
488,4.71782
489,4.71782
490,0.69607
491,4.71782
492,4.70999
493,1.71457
494,4.71782
495,1.37369
496,1.20077
497,0.69716
498,4.71782
499,4.71782
500,0.86115
501,0.74097
502,4.71782
503,2.50332
504,2.82168
505,4.71782
