# id,beta
236,4.27375
237,5.69231
238,4.27375
239,4.27375
240,3.77033
241,2.61023
242,5.69231
243,5.18203
244,4.41648
245,2.46221
246,2.27443
247,5.69231
248,4.41648
249,2.89640
250,4.41648
251,5.18203
252,3.77033
253,2.02954
254,5.18203
255,4.41648
256,4.41648
257,5.18203
258,5.18203
259,4.27375
260,5.18203
261,4.41648
262,2.65187
263,4.41648
264,1.36545
265,4.92688
266,5.66335
267,5.34697
268,5.66335
269,5.66335
270,5.66335
271,3.04290
272,3.04290
273,5.66335
274,1.95019
275,1.11417
276,3.04290
277,3.00658
278,3.23669
279,3.04290
280,2.12097
281,2.36819
282,5.05804
283,1.87423
284,5.05804
285,2.64944
286,3.89553
287,2.32628
288,2.32628
289,4.47216
290,4.47216
291,2.01262
292,4.11345
293,2.42693
294,4.34380
295,2.36871
296,4.35500
297,4.23503
298,1.50917
299,1.07298
300,1.07298
301,2.44879
302,2.34095
303,4.34380
304,2.32974
305,4.47216
306,2.32974
307,4.35500
308,2.34095
309,2.34095
310,4.46340
311,4.34380
312,1.41380
313,4.34380
314,0.97321
315,4.35500
316,1.68584
317,1.23946
318,2.61064
319,3.60080
320,1.23442
321,1.18758
322,1.18758
323,1.28245
324,1.15424
325,2.82289
326,1.26436
327,1.26436
328,5.44109
329,5.10901
330,3.21216
331,5.90381
332,5.90381
333,1.18903
334,1.18903
335,5.90381
336,3.21216
337,4.52000
338,5.90381
339,5.90381
340,5.90381
341,5.90381
342,5.90381
343,1.26883
344,5.90381
345,5.90381
346,5.90381
347,4.52000
348,5.90381
349,5.90381
350,5.90381
351,2.04222
352,3.21216
353,2.65322
354,1.21961
355,1.26883
356,5.90381
357,1.90468
358,2.04222
359,1.59759
360,1.38610
361,1.90468
362,1.21961
363,1.16979
364,1.53229
365,3.96709
366,3.96709
367,2.11242
368,1.67259
369,3.96709
370,3.96709
371,1.98984
372,2.95284
373,1.60247
374,3.96709
375,5.65040
376,1.20559
377,1.74565
378,2.57109
379,3.96709
380,2.45495
381,3.96709
382,3.96709
383,3.96709
384,2.22025
385,5.65040
386,3.96709
387,1.11670
388,1.09417
389,2.45495
390,1.52434
391,2.07843
392,1.97062
393,1.85392
394,1.28645
395,1.20778
396,1.68240
397,1.48895
398,2.58729
399,6.20749
400,1.21597
401,1.25469
402,2.45425
403,2.58729
404,1.98301
405,1.47193
406,2.03496
407,2.14422
408,6.20749
409,6.20749
410,2.97500
411,2.58729
412,2.97500
413,6.20749
414,1.20778
415,1.68240
416,1.29105
417,2.44384
418,1.21597
419,2.27216
420,2.99584
421,1.28645
422,1.98301
