# id,z0,z1
200,0.00073,0.99927
201,0.99915,0.00085
202,0.76175,0.23825
203,0.38960,0.61040
204,0.77896,0.22104
205,0.99884,0.00116
206,0.99996,0.00004
207,0.00863,0.99137
208,0.98778,0.01222
209,0.98968,0.01032
210,0.99996,0.00004
211,0.98778,0.01222
212,0.99915,0.00085
213,0.98950,0.01050
214,0.99996,0.00004
215,0.99884,0.00116
216,0.18825,0.81175
217,0.99884,0.00116
218,0.98950,0.01050
219,0.76175,0.23825
220,1.00000,0.00000
221,0.98697,0.01303
222,0.08656,0.91344
223,0.99829,0.00171
224,0.97700,0.02300
225,1.00000,0.00000
226,1.00000,0.00000
227,0.40297,0.59703
228,0.46675,0.53325
229,1.00000,0.00000
230,0.30423,0.69577
231,0.36959,0.63041
232,0.99999,0.00001
233,0.99970,0.00030
234,0.85285,0.14715
235,0.30423,0.69577
236,1.00000,0.00000
237,1.00000,0.00000
238,1.00000,0.00000
239,1.00000,0.00000
240,0.99999,0.00001
241,0.99957,0.00043
242,1.00000,0.00000
243,1.00000,0.00000
244,1.00000,0.00000
245,0.99896,0.00104
246,0.99632,0.00368
247,1.00000,0.00000
248,1.00000,0.00000
249,0.99991,0.00009
250,1.00000,0.00000
251,1.00000,0.00000
252,0.99999,0.00001
253,0.99040,0.00960
254,1.00000,0.00000
255,1.00000,0.00000
256,1.00000,0.00000
257,1.00000,0.00000
258,1.00000,0.00000
259,1.00000,0.00000
260,1.00000,0.00000
261,1.00000,0.00000
262,0.99953,0.00047
263,1.00000,0.00000
264,0.85897,0.14103
265,1.00000,0.00000
266,1.00000,0.00000
267,1.00000,0.00000
268,1.00000,0.00000
269,1.00000,0.00000
270,1.00000,0.00000
271,1.00000,0.00000
272,1.00000,0.00000
273,1.00000,0.00000
274,0.99268,0.00732
275,0.60316,0.39684
276,1.00000,0.00000
277,0.99998,0.00002
278,1.00000,0.00000
279,1.00000,0.00000
280,0.99857,0.00143
281,0.99997,0.00003
282,0.00000,1.00000
283,0.99894,0.00106
284,1.00000,0.00000
285,1.00000,0.00000
286,1.00000,0.00000
287,0.99997,0.00003
288,0.99997,0.00003
289,1.00000,0.00000
290,1.00000,0.00000
291,0.99915,0.00085
292,1.00000,0.00000
293,0.99963,0.00037
294,1.00000,0.00000
295,0.99990,0.00010
296,1.00000,0.00000
297,1.00000,0.00000
298,0.93851,0.06149
299,0.71781,0.28219
300,0.71781,0.28219
301,0.99983,0.00017
302,0.99996,0.00004
303,1.00000,0.00000
304,0.99991,0.00009
305,1.00000,0.00000
306,0.99991,0.00009
307,1.00000,0.00000
308,0.99996,0.00004
309,0.99996,0.00004
310,1.00000,0.00000
311,1.00000,0.00000
312,0.96705,0.03295
313,1.00000,0.00000
314,0.58002,0.41998
315,1.00000,0.00000
316,0.98619,0.01381
317,0.15550,0.84450
318,0.00006,0.99994
319,1.00000,0.00000
320,0.71075,0.28925
321,0.60389,0.39611
322,0.60389,0.39611
323,0.16236,0.83764
324,0.44652,0.55348
325,0.99974,0.00026
326,0.68730,0.31270
327,0.68730,0.31270
328,0.00000,1.00000
329,0.00000,1.00000
330,0.99995,0.00005
331,1.00000,0.00000
332,1.00000,0.00000
333,0.53959,0.46041
334,0.53959,0.46041
335,1.00000,0.00000
336,0.99995,0.00005
337,1.00000,0.00000
338,1.00000,0.00000
