# id,beta
797,3.43341
798,3.43341
799,3.43341
800,3.43341
801,3.43341
802,3.43341
803,3.43341
804,2.89952
805,0.78997
806,4.63333
807,1.43820
808,1.30226
809,4.63333
810,0.96113
811,3.62548
812,3.62548
813,3.62548
814,3.62548
815,3.62548
816,3.62548
817,3.62548
818,3.62548
819,3.62548
820,3.62548
821,3.62548
822,3.62548
823,3.62548
824,3.62548
825,1.73513
826,3.62548
827,3.55682
828,1.14182
829,3.62548
830,0.93040
831,0.89151
832,3.62548
833,3.62548
834,0.83961
835,3.55117
836,3.55117
837,1.59851
838,3.55117
839,0.91067
840,1.21158
841,1.21158
842,0.96711
843,3.55117
844,0.83537
845,3.55117
846,1.75702
847,1.75702
848,1.28158
849,1.75702
850,3.55117
851,0.83537
852,1.34797
853,1.75702
854,3.55117
855,0.82278
856,3.55117
857,1.59952
858,1.59952
859,3.55117
860,1.59952
861,3.55117
862,1.75702
863,1.59851
864,3.55117
865,3.89985
866,3.89985
867,3.89985
868,3.89985
869,1.90769
870,3.89985
871,3.89985
872,1.00813
873,3.89985
874,3.89985
875,3.89985
876,3.89985
877,3.89985
878,3.89985
879,1.25865
880,3.89985
881,3.89985
882,1.72326
883,3.89985
884,1.29801
885,0.69994
886,1.12405
887,3.25201
888,3.25201
889,0.83200
890,3.25201
891,3.25201
892,0.95240
893,3.25201
894,3.25201
895,3.25201
896,3.25201
897,3.25201
898,3.25201
899,3.25201
900,3.25201
901,0.93122
902,1.78205
903,3.44709
904,3.44709
905,1.78205
906,3.44709
907,3.44709
908,3.44709
909,3.44709
910,3.44709
911,3.44709
912,3.44709
913,3.44709
914,3.44709
915,3.44709
916,3.44709
917,1.78205
918,3.44709
919,3.35800
920,3.35800
921,3.35800
922,3.35800
923,3.35800
924,3.35800
925,1.53024
926,1.53024
927,3.35800
928,1.53024
929,3.35800
930,1.23185
931,1.58585
932,4.28542
933,1.58585
934,4.28542
935,4.28542
936,2.26280
937,1.57238
938,1.76314
939,4.28542
940,0.69027
941,4.28542
942,4.28542
943,4.28542
944,4.28542
945,4.28542
946,4.28542
947,1.57238
948,4.28542
949,4.28542
950,4.28542
951,4.28542
952,4.28542
953,4.28542
954,3.26216
955,3.26216
956,3.26216
957,3.26216
958,3.26216
959,3.26216
960,3.26216
961,3.26216
962,3.26216
963,3.26216
964,3.26216
965,3.26216
966,4.13216
967,1.55171
968,0.99084
969,4.13216
970,4.13216
971,4.13216
972,4.13216
973,4.13216
974,2.06603
975,4.13216
976,4.13216
977,2.14050
978,4.13216
979,1.43572
980,2.14050
981,2.14050
982,2.14050
983,4.13216
984,2.14050
985,2.14050
986,2.14050
987,1.55286
988,4.13216
989,1.11715
990,2.16294
991,4.25255
992,4.25255
993,4.25255
994,4.25255
995,4.25255
996,4.25255
997,4.25255
998,4.25255
999,4.25255
1000,4.25255
1001,4.25255
1002,4.25255
1003,4.25255
1004,1.63512
1005,4.25255
1006,4.25255
1007,4.25255
1008,4.25255
1009,4.25255
1010,4.25255
1011,4.25255
1012,2.16294
1013,3.34860
1014,3.34860
1015,3.34860
1016,3.34860
1017,3.34860
1018,3.34860
1019,3.34860
1020,3.34860
1021,3.34860
1022,0.65909
1023,3.34860
1024,3.34860
1025,1.30670
1026,1.88212
1027,4.63442
1028,4.63442
1029,1.94295
1030,1.94295
1031,2.08344
1032,2.00992
1033,4.63442
1034,4.63442
1035,1.88212
1036,2.00992
1037,4.63442
1038,4.63442
1039,2.94579
1040,2.94579
1041,1.94295
1042,1.72047
1043,4.63442
1044,4.63442
1045,2.94579
1046,4.63442
1047,2.94579
1048,2.94579
1049,1.67331
1050,4.63442
1051,2.94579
1052,4.63442
1053,2.94579
1054,2.08344
1055,4.08022
1056,1.50891
1057,4.08022
1058,2.03686
1059,2.20400
1060,4.08022
1061,1.58760
1062,2.20400
1063,4.08022
1064,4.08022
1065,2.03686
1066,4.08022
1067,4.08022
1068,1.08685
1069,4.08022
1070,4.08022
1071,4.08022
1072,4.08022
1073,2.03686
1074,4.08022
1075,4.08022
1076,1.05981
1077,1.26806
1078,1.50891
1079,4.08022
1080,4.08022
1081,2.03686
1082,1.56513
1083,4.08022
1084,4.08022
1085,3.61235
1086,3.61235
1087,3.61235
1088,3.61235
1089,3.61235
1090,3.61235
1091,3.61235
1092,1.89877
1093,3.61235
1094,1.89877
1095,3.61235
1096,3.61235
1097,1.89877
1098,3.61235
1099,3.61235
1100,3.61235
1101,3.61235
1102,0.90802
1103,3.61235
1104,1.21295
1105,3.61235
1106,3.61235
1107,3.61235
1108,1.89877
1109,3.75425
1110,3.75425
1111,1.30130
1112,3.75425
1113,1.75676
1114,1.70288
1115,3.75425
1116,1.12263
1117,3.75425
1118,3.75425
1119,3.75425
1120,1.70549
1121,3.75425
1122,1.70288
1123,1.63508
1124,1.07180
1125,4.15522
1126,2.74045
1127,2.74045
1128,0.63159
1129,1.42917
1130,2.74045
1131,0.63159
1132,4.15522
1133,4.15522
1134,4.15522
1135,2.74045
1136,4.15522
1137,4.15522
1138,4.15522
1139,2.74045
1140,2.74045
1141,4.15522
1142,1.03309
1143,4.15522
1144,4.15522
1145,4.15522
1146,4.15522
1147,4.15522
1148,4.15522
1149,2.74045
1150,4.15522
1151,4.15522
1152,4.15522
1153,2.22945
1154,3.87846
1155,1.36394
1156,3.87846
1157,3.87846
1158,3.87846
1159,3.87846
1160,3.87846
1161,3.87846
1162,3.87846
1163,3.87846
1164,3.87846
1165,3.87846
1166,3.87846
1167,3.87846
1168,3.87846
1169,3.87846
1170,3.87846
1171,3.87846
1172,3.87846
1173,3.87846
1174,3.87846
1175,3.87846
1176,3.87846
1177,3.87846
1178,3.87846
1179,3.87846
1180,3.87846
1181,3.87846
1182,3.87846
1183,4.13894
1184,4.13894
1185,4.13894
1186,4.13894
1187,4.13894
1188,4.13894
1189,4.13894
1190,2.49507
1191,2.49507
1192,2.49507
1193,0.76741
1194,0.84694
1195,3.32511
1196,3.32511
1197,3.32511
1198,3.32511
1199,3.32511
1200,3.32511
1201,3.32511
1202,3.32511
1203,3.32511
1204,3.32511
1205,1.43336
1206,3.32511
1207,3.32511
1208,3.32511
1209,3.32511
1210,1.50772
1211,3.32511
1212,3.32511
1213,2.06603
1214,2.06603
1215,4.13216
1216,4.13216
1217,1.40664
1218,4.13216
1219,4.13216
1220,2.27099
1221,2.27099
1222,2.27099
1223,1.45100
1224,3.93175
1225,0.55369
1226,3.93175
1227,2.14194
1228,2.14194
1229,3.93175
1230,3.93175
1231,3.93175
1232,3.93175
